------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      2  |      1.2148  |     0.8350  |   0.8103  |               |              1.3301  |
|          |      3  |      1.1602  |     0.8652  |   0.8509  |               |              1.7094  |
|          |      4  |      1.1133  |     0.8828  |   0.8545  |               |              2.0889  |
|          |      5  |      1.1104  |     0.8877  |   0.8356  |               |              2.4670  |
|          |      6  |      1.0537  |     0.9209  |   0.9020  |               |              2.8440  |
|          |      7  |      1.0312  |     0.9258  |   0.8926  |               |              3.2239  |
|          |      8  |      0.9790  |     0.9541  |   0.9253  |               |              3.6023  |
|          |      9  |      0.9570  |     0.9658  |   0.9334  |               |              3.9499  |
|          |   eval  |      0.9570  |     0.9658  |   0.9334  |       0.9393  |              4.1193  |
------------------------------------------------------------------------------------------------------
|      22  |      0  |      1.4541  |     0.6875  |   0.6833  |               |              0.5042  |
|          |      1  |      1.2891  |     0.7979  |   0.7432  |               |              0.9150  |
|          |      2  |      1.2148  |     0.8359  |   0.7979  |               |              1.3296  |
|          |      3  |      1.1533  |     0.8633  |   0.8201  |               |              1.7088  |
|          |      4  |      1.1338  |     0.8857  |   0.8532  |               |              2.0879  |
|          |      5  |      1.0840  |     0.8945  |   0.8338  |               |              2.4662  |
|          |      6  |      1.0449  |     0.9180  |   0.8935  |               |              2.8443  |
|          |      7  |      1.0322  |     0.9287  |   0.9085  |               |              3.2233  |
|          |      8  |      0.9712  |     0.9619  |   0.9257  |               |              3.6032  |
|          |      9  |      0.9609  |     0.9648  |   0.9332  |               |              3.9518  |
|          |   eval  |      0.9609  |     0.9648  |   0.9332  |       0.9401  |              4.1200  |
------------------------------------------------------------------------------------------------------
|      23  |      0  |      1.4434  |     0.7070  |   0.6634  |               |              0.5075  |
|          |      1  |      1.2676  |     0.8145  |   0.6811  |               |              0.9194  |
|          |      2  |      1.2148  |     0.8252  |   0.8012  |               |              1.3308  |
|          |      3  |      1.1748  |     0.8535  |   0.8326  |               |              1.7103  |
|          |      4  |      1.1152  |     0.8848  |   0.8578  |               |              2.0892  |
|          |      5  |      1.0967  |     0.8848  |   0.8410  |               |              2.4665  |
|          |      6  |      1.0430  |     0.9268  |   0.8686  |               |              2.8462  |
|          |      7  |      1.0176  |     0.9336  |   0.9042  |               |              3.2255  |
|          |      8  |      0.9751  |     0.9551  |   0.9223  |               |              3.6036  |
|          |      9  |      0.9473  |     0.9736  |   0.9333  |               |              3.9520  |
|          |   eval  |      0.9473  |     0.9736  |   0.9333  |       0.9395  |              4.1215  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.4365  |     0.7070  |   0.6676  |               |              0.4995  |
|          |      1  |      1.2725  |     0.8135  |   0.7342  |               |              0.9115  |
|          |      2  |      1.2588  |     0.8096  |   0.8057  |               |              1.3266  |
|          |      3  |      1.2061  |     0.8340  |   0.7631  |               |              1.7066  |
|          |      4  |      1.1230  |     0.8760  |   0.8555  |               |              2.0836  |
|          |      5  |      1.1143  |     0.8896  |   0.8256  |               |              2.4627  |
|          |      6  |      1.0322  |     0.9209  |   0.8897  |               |              2.8411  |
|          |      7  |      1.0322  |     0.9287  |   0.9021  |               |              3.2205  |
|          |      8  |      0.9673  |     0.9658  |   0.9199  |               |              3.5998  |
|          |      9  |      0.9434  |     0.9805  |   0.9338  |               |              3.9474  |
|          |   eval  |      0.9434  |     0.9805  |   0.9338  |       0.9390  |              4.1163  |
------------------------------------------------------------------------------------------------------
Mean: 0.9396    Std: 0.0013
/workspace/ESE-3060-Project/logs/86e2202e-fec8-4f58-b39e-c3beb8ce3fe5/log.pt
