------------------------------------------------------------------------------------------------------
|  run     |  epoch  |  train_loss  |  train_acc  |  val_acc  |  tta_val_acc  |  total_time_seconds  |
|          |      2  |      1.1641  |     0.8652  |   0.7528  |               |              1.3331  |
|          |      3  |      1.1680  |     0.8594  |   0.8264  |               |              1.7128  |
|          |      4  |      1.1025  |     0.8936  |   0.8299  |               |              2.0950  |
|          |      5  |      1.0840  |     0.9043  |   0.8814  |               |              2.4750  |
|          |      6  |      1.0518  |     0.9199  |   0.8696  |               |              2.8537  |
|          |      7  |      1.0225  |     0.9365  |   0.9070  |               |              3.2345  |
|          |      8  |      0.9907  |     0.9502  |   0.9188  |               |              3.6147  |
|          |      9  |      0.9370  |     0.9854  |   0.9334  |               |              3.9627  |
|          |   eval  |      0.9370  |     0.9854  |   0.9334  |       0.9411  |              4.1321  |
------------------------------------------------------------------------------------------------------
|      24  |      0  |      1.4258  |     0.7197  |   0.5526  |               |              0.4160  |
|          |      1  |      1.2705  |     0.8047  |   0.5571  |               |              0.8278  |
|          |      2  |      1.2051  |     0.8369  |   0.7192  |               |              1.2436  |
|          |      3  |      1.1357  |     0.8701  |   0.8040  |               |              1.6237  |
|          |      4  |      1.1328  |     0.8779  |   0.8565  |               |              2.0056  |
|          |      5  |      1.1025  |     0.9004  |   0.8605  |               |              2.3851  |
|          |      6  |      1.0654  |     0.9082  |   0.8831  |               |              2.7644  |
|          |      7  |      1.0293  |     0.9258  |   0.8999  |               |              3.1445  |
|          |      8  |      0.9790  |     0.9492  |   0.9226  |               |              3.5232  |
|          |      9  |      0.9370  |     0.9814  |   0.9338  |               |              3.8710  |
|          |   eval  |      0.9370  |     0.9814  |   0.9338  |       0.9403  |              4.0405  |
------------------------------------------------------------------------------------------------------
Mean: 0.9402    Std: 0.0014
/workspace/ESE-3060-Project/logs/95606df5-a60c-42d5-b776-a2b6823f5a9e/log.pt
